text,label
Привет,smalltalk
Здравствуйте,smalltalk
Добрый день,smalltalk
Добрый вечер,smalltalk
Доброе утро,smalltalk
Хай,smalltalk
Приветствую,smalltalk
Салют,smalltalk
Доброго времени суток,smalltalk
Хелло,smalltalk
Привет! Как дела?,smalltalk
Добрый день! Рад вас видеть,smalltalk
Здравствуй,smalltalk
Привет всем,smalltalk
Добрый,smalltalk
Прив,smalltalk
Хай-хай,smalltalk
Доброго дня,smalltalk
Приветик,smalltalk
Хорошего дня,smalltalk
Доброго утра,smalltalk
Добрый день! Всё хорошо?,smalltalk
Здрасьте,smalltalk
Здравствуйте! Рад вас видеть,smalltalk
Приветствую вас,smalltalk
Доброго вечера,smalltalk
Добрый денёк,smalltalk
Хай! Как поживаете?,smalltalk
Добро пожаловать,smalltalk
Рад вас видеть,smalltalk
Доброго времени,smalltalk
Эй привет,smalltalk
Привет как ты?,smalltalk
Хай всё норм?,smalltalk
Ну привет,smalltalk
До свидания,smalltalk
Пока,smalltalk
Увидимся,smalltalk
Всего хорошего,smalltalk
До скорого,smalltalk
Удачи,smalltalk
Пока-пока,smalltalk
До завтра,smalltalk
Спокойной ночи,smalltalk
Ладно бывай,smalltalk
Ну пока,smalltalk
Удачного дня,smalltalk
Всего доброго,smalltalk
До встречи,smalltalk
Хорошего вечера,smalltalk
До связи,smalltalk
Бывай,smalltalk
Пойду я,smalltalk
Ладно всё пока,smalltalk
Счастливо,smalltalk
Чао,smalltalk
До следующего раза,smalltalk
Покедова,smalltalk
Увидимся завтра,smalltalk
Пока спасибо за помощь,smalltalk
Спасибо,smalltalk
Благодарю,smalltalk
Спасибо большое,smalltalk
Огромное спасибо,smalltalk
Спасибки,smalltalk
Спасиб,smalltalk
Большое спасибо,smalltalk
Очень признателен,smalltalk
Спасибо за помощь,smalltalk
Благодарю вас,smalltalk
Спасибо за ответ,smalltalk
Спс,smalltalk
Мерси,smalltalk
Спасибо помогло,smalltalk
Спасибо разобрался,smalltalk
Огромная благодарность,smalltalk
Спасибо за информацию,smalltalk
Ценю помощь спасибо,smalltalk
Спасибо за подсказку,smalltalk
Спасибочки,smalltalk
Спасибо большое очень помогли,smalltalk
Благодарю за ответ,smalltalk
Спасибо стало понятнее,smalltalk
Спасибо что объяснили,smalltalk
Спасибо за быстрый ответ,smalltalk
Благодарю за помощь,smalltalk
Спасибо всё понял,smalltalk
Спасибо буду знать,smalltalk
Премного благодарен,smalltalk
Что ты умеешь?,smalltalk
Как тебя зовут?,smalltalk
Ты бот?,smalltalk
Как ты работаешь?,smalltalk
Ты живой?,smalltalk
Расскажи о себе,smalltalk
Чем ты можешь помочь?,smalltalk
Ты робот?,smalltalk
Кто тебя создал?,smalltalk
Ты умный?,smalltalk
Что ты можешь делать?,smalltalk
Как с тобой работать?,smalltalk
Ты реальный человек?,smalltalk
Ты ИИ?,smalltalk
Что ты такое?,smalltalk
Ты умеешь отвечать на вопросы?,smalltalk
Как тебя использовать?,smalltalk
Ты помощник?,smalltalk
Ты поможешь мне?,smalltalk
Можешь мне помочь?,smalltalk
Расскажи что ты умеешь,smalltalk
Какой у тебя функционал?,smalltalk
Ты понимаешь русский язык?,smalltalk
Ты знаешь что-нибудь?,smalltalk
Ты обучен?,smalltalk
Как с тобой разговаривать?,smalltalk
Ты можешь найти информацию?,smalltalk
Ты поисковик?,smalltalk
Откуда ты берёшь информацию?,smalltalk
Ты на каком языке говоришь?,smalltalk
Ты специализированный бот?,smalltalk
Для чего ты предназначен?,smalltalk
Ты чат-бот?,smalltalk
Ты умеешь искать документы?,smalltalk
Помоги мне разобраться с тобой,smalltalk
Как ты понимаешь вопросы?,smalltalk
Ты анализируешь документы?,smalltalk
Ты базируешься на документации?,smalltalk
Ты специализируешься на технической документации?,smalltalk
Что ты за система?,smalltalk
Ты нейросеть?,smalltalk
Как ты устроен?,smalltalk
Ты помнишь наш разговор?,smalltalk
Ты понимаешь технические термины?,smalltalk
Окей,smalltalk
Понятно,smalltalk
Ясно,smalltalk
Хорошо,smalltalk
Ладно,smalltalk
Понял,smalltalk
Ок,smalltalk
Понятненько,smalltalk
Принято,smalltalk
Услышал,smalltalk
Всё ясно,smalltalk
Разобрался,smalltalk
Стало понятно,smalltalk
Ок спасибо,smalltalk
Хорошо понял,smalltalk
Принял к сведению,smalltalk
Всё понял,smalltalk
Ясно ясно,smalltalk
Окей окей,smalltalk
Принял,smalltalk
Учту,smalltalk
Ага,smalltalk
Угу,smalltalk
Оке,smalltalk
Ясненько,smalltalk
Ты классный,smalltalk
Молодец,smalltalk
Здорово,smalltalk
Отлично,smalltalk
Хорошо объяснил,smalltalk
Ты хорошо работаешь,smalltalk
Умница,smalltalk
Браво,smalltalk
Неплохо,smalltalk
Ты мне нравишься,smalltalk
Хорошо сделано,smalltalk
Ты крутой,smalltalk
Отличная работа,smalltalk
Мне нравится как ты отвечаешь,smalltalk
Ты очень полезный,smalltalk
Замечательно,smalltalk
Великолепно,smalltalk
Превосходно,smalltalk
Ты помог мне,smalltalk
Ты справился,smalltalk
Класс,smalltalk
Супер,smalltalk
Круто,smalltalk
Вау,smalltalk
Впечатляет,smalltalk
Нормально,smalltalk
Сойдёт,smalltalk
Как дела?,smalltalk
Всё хорошо?,smalltalk
Ты не устал?,smalltalk
Ты когда-нибудь спишь?,smalltalk
Тебе не скучно?,smalltalk
Ты любишь свою работу?,smalltalk
Ты счастлив?,smalltalk
У тебя есть настроение?,smalltalk
Тебе интересно?,smalltalk
Ты устал?,smalltalk
Тебе нравится отвечать?,smalltalk
Ты работаешь 24/7?,smalltalk
Тебе нравится помогать?,smalltalk
Ты давно работаешь?,smalltalk
Ты занят?,smalltalk
Ты свободен?,smalltalk
